Column1,Column2,Column3,Column4
1.4,1.07,0.95,0.97
1.4,1.14,0.98,0.92
1.4,1.17,0.81,0.82
1.4,0.94,0.92,0.81
1.22,0.87,0.86,1.15
1.05,0.92,0.88,0.91
1.21,0.82,0.96,1.16
1.4,0.94,0.92,0.88
1.26,0.91,0.85,1.0
1.33,0.83,1.11,1.09
1.19,1.18,0.95,1.09
1.26,0.95,1.06,1.07
1.06,0.96,0.82,1.12
1.16,1.04,0.89,1.12
1.37,1.02,1.11,1.08
1.4,0.94,1.13,1.04
1.38,0.85,0.83,0.9
1.12,1.15,1.04,0.93
1.29,1.08,0.93,0.83
1.4,1.1,1.04,0.93
1.26,0.81,1.18,1.14
1.33,1.02,1.2,1.02
1.1,1.04,1.02,1.1
0.92,0.94,0.95,1.01
1.03,1.1,0.94,1.09
0.99,1.14,1.13,0.87
0.81,1.11,1.19,1.15
0.82,1.2,0.92,1.15
0.82,1.09,0.87,1.16
0.89,0.84,0.93,1.09
0.83,1.15,0.91,0.82
0.91,1.06,0.87,1.0
1.05,0.84,0.84,1.17
1.11,0.82,1.02,1.14
1.27,0.92,1.1,1.13
1.4,0.8,0.94,1.07
1.4,0.83,0.88,0.93
1.27,1.01,1.1,1.1
1.22,1.19,0.87,1.04
1.4,0.96,1.01,1.01
1.4,1.0,0.88,0.94
1.4,1.08,0.82,1.18
1.4,0.85,1.08,1.06
1.32,1.01,1.04,1.12
1.35,0.91,1.15,1.1
1.27,0.83,0.97,1.13
1.26,0.83,1.03,0.94
1.39,1.15,1.0,1.03
1.4,1.13,1.02,0.9
1.4,1.09,1.2,1.0
1.4,0.86,0.8,1.12
1.2,0.85,0.98,1.02
1.19,0.96,0.83,1.09
1.25,0.87,1.2,0.97
1.16,1.01,0.85,1.12
1.2,0.91,1.13,1.1
0.99,0.94,1.13,0.97
0.81,1.11,0.81,1.05
0.73,1.02,0.92,1.0
0.6,0.82,1.11,0.95
0.6,1.16,0.91,1.04
0.66,1.06,0.89,0.89
0.6,1.17,0.85,0.98
0.6,0.95,1.01,1.07
0.6,1.03,0.98,0.87
0.64,1.18,1.03,1.16
0.61,0.94,1.05,0.98
0.66,1.06,0.91,1.14
0.74,1.13,1.14,0.97
0.67,1.06,0.82,0.82
0.71,0.86,0.85,1.16
0.68,1.04,0.81,0.8
0.77,0.93,0.92,1.01
0.82,0.82,0.98,0.84
0.88,1.12,1.05,1.13
0.95,0.99,0.88,0.98
1.0,1.15,1.12,1.12
1.09,1.1,0.94,1.19
1.12,1.15,0.87,0.83
1.26,1.16,0.99,1.14
1.09,1.16,1.06,0.84
1.06,0.9,0.88,1.07
0.95,1.03,0.97,1.0
0.83,0.96,0.97,0.98
0.76,0.83,0.81,0.82
0.68,1.06,1.19,1.06
0.76,0.91,1.15,1.11
0.65,0.98,1.09,1.18
0.65,1.08,0.97,1.1
0.64,0.93,1.13,0.86
0.6,1.1,0.97,0.83
0.64,1.12,1.19,0.98
0.69,1.06,1.05,0.81
0.6,0.98,0.92,0.81
0.6,1.11,1.09,0.97
0.66,1.02,0.93,1.14
0.6,0.98,1.19,1.09
0.6,1.14,1.11,0.96
0.62,0.87,0.87,1.03
0.71,1.15,0.88,1.02
0.76,0.88,1.16,0.86
0.91,1.12,0.87,1.13
0.83,1.1,0.96,0.92
0.99,1.06,1.04,1.11
1.01,0.99,1.16,1.11
1.09,0.93,1.18,0.95
1.03,0.97,0.85,0.93
1.05,0.94,0.98,0.93
1.13,0.98,1.12,0.99
1.11,0.99,1.05,0.85
0.91,1.09,1.05,1.15
0.78,0.9,0.86,0.92
0.79,1.13,1.02,1.1
0.87,1.06,1.1,1.14
0.97,0.81,1.04,0.89
1.14,0.92,1.08,1.11
1.21,0.82,0.81,1.11
1.26,0.98,1.02,0.99
1.14,0.94,0.91,0.82
1.18,1.13,1.19,1.16
1.36,0.99,0.92,0.81
1.33,0.81,0.81,1.17
1.4,1.05,1.06,1.16
1.4,1.0,0.93,0.82
1.4,0.86,0.83,1.1
1.4,0.95,0.83,0.94
1.3,0.9,1.11,1.18
1.23,1.12,0.99,0.9
0.99,0.93,0.81,0.83
0.92,1.16,1.12,1.19
0.97,0.87,0.9,1.09
0.99,1.0,0.83,1.16
0.82,1.08,1.15,0.95
0.74,0.83,1.0,0.97
0.85,0.86,1.09,1.2
0.84,0.9,0.96,1.06
0.91,1.07,1.16,0.95
1.03,0.97,0.84,1.03
1.07,0.94,1.18,0.99
1.28,1.19,0.94,1.02
1.29,0.89,0.95,0.83
1.38,0.97,0.8,0.91
1.4,1.2,1.02,1.12
1.4,1.04,1.12,0.84
1.4,1.15,0.99,1.14
1.31,0.8,0.84,1.13
1.4,0.9,0.97,0.85
1.4,0.9,0.96,1.09
1.16,0.83,0.86,0.96
1.33,0.99,0.97,1.09
1.37,1.16,1.12,1.04
1.3,0.84,1.07,0.84
1.35,1.07,0.95,1.03
1.19,1.09,0.97,1.16
1.32,0.95,1.01,0.94
1.29,1.18,0.92,0.84
1.04,1.16,0.81,0.94
1.02,1.17,0.87,1.18
0.88,0.98,1.06,0.84
0.95,1.06,0.98,0.95
0.81,1.04,0.87,0.98
0.81,0.99,0.89,0.84
0.94,0.96,1.13,0.94
1.08,1.17,0.91,0.93
1.22,1.18,1.19,0.93
1.37,0.94,0.82,1.17
1.1,0.88,1.18,0.97
0.92,0.88,0.85,1.16
1.04,1.11,1.03,1.17
1.17,1.19,0.96,1.01
1.38,1.16,1.04,0.84
1.23,1.06,1.18,1.03
1.21,1.03,0.84,1.1
1.07,0.95,1.07,1.2
1.17,1.03,1.02,1.07
1.33,1.19,1.0,1.16
1.17,0.85,0.94,1.05
1.27,1.11,1.08,1.04
1.31,1.03,1.04,1.19
1.16,1.17,0.88,1.15
1.38,1.08,1.06,0.91
1.4,0.81,1.17,0.97
1.4,1.11,0.95,0.84
1.26,0.91,1.11,0.88
1.23,1.06,1.17,0.99
1.4,1.11,0.85,1.16
1.4,0.94,1.02,1.07
1.4,0.98,1.04,1.17
1.36,1.15,1.11,1.17
1.17,0.91,0.81,1.18
1.11,0.81,0.82,0.91
1.01,0.89,1.04,1.0
1.2,0.87,1.0,0.87
1.27,0.93,0.99,1.14
1.4,1.0,0.93,0.84
1.28,1.03,0.91,1.17
1.4,1.11,0.94,0.81
1.27,0.91,1.05,0.98
1.4,0.87,1.1,0.98
1.4,1.14,0.86,1.13
1.4,0.91,0.91,0.96
1.4,0.91,1.18,0.99
1.25,1.07,1.15,0.82
1.4,0.98,1.01,0.9
1.4,0.87,0.97,0.85
1.16,1.18,1.07,0.87
1.18,0.82,0.95,1.12
1.38,1.01,0.98,1.19
1.12,0.98,0.99,0.93
0.91,1.1,1.1,1.16
0.83,0.86,0.98,0.89
0.88,0.96,1.06,0.96
1.04,0.91,0.9,1.17
1.05,1.05,1.13,0.99
1.03,0.83,0.88,0.98
0.91,1.12,0.99,0.93
0.8,1.07,1.17,1.12
0.79,1.05,0.91,0.96
0.68,1.13,1.11,1.09
0.75,0.93,0.83,0.82
0.77,1.11,0.94,1.07
0.69,0.8,1.07,1.05
0.69,0.9,1.1,1.06
0.82,1.04,1.06,0.9
0.7,1.06,0.84,0.99
0.63,0.99,0.98,1.04
0.6,0.85,1.04,1.05
0.6,0.85,0.95,1.06
0.6,1.17,0.83,1.12
0.66,0.97,0.98,1.07
0.63,1.19,0.85,0.83
0.61,1.09,1.19,1.01
0.6,0.86,1.01,0.92
0.6,0.93,0.83,1.18
0.65,1.16,0.89,1.01
0.69,1.1,1.0,0.91
0.81,0.92,1.09,1.11
0.71,0.8,0.85,1.16
0.75,0.91,0.89,0.87
0.61,1.12,0.85,1.08
0.6,1.02,1.19,0.92
0.6,1.18,1.0,0.99
0.63,1.18,1.17,0.96
0.6,0.94,1.01,1.06
0.69,1.18,1.15,1.09
0.73,1.05,0.84,0.98
0.87,0.98,1.01,1.01
0.82,0.96,1.18,0.86
0.73,0.97,1.01,0.83
0.6,1.05,0.9,1.14
0.6,1.18,0.9,0.92
0.64,1.18,1.15,0.83
0.6,1.13,1.09,1.08
0.6,1.0,1.08,0.87
0.63,0.88,1.13,1.06
0.6,0.88,1.05,1.16
0.62,1.04,1.19,1.17
0.66,1.13,1.08,1.03
0.68,0.96,1.13,1.0
0.6,0.85,1.12,0.95
0.6,1.17,1.09,0.84
0.64,0.86,1.12,0.84
0.6,0.91,1.0,1.05
0.6,1.02,1.15,1.07
0.65,1.02,1.19,0.87
0.63,0.98,1.15,0.84
0.6,1.0,1.09,1.19
0.66,1.0,0.91,1.12
0.61,1.13,0.94,0.93
0.62,0.9,0.98,1.01
0.6,1.18,0.93,1.01
0.66,1.14,0.81,1.2
0.78,0.96,0.84,0.88
0.8,1.01,1.07,0.85
0.66,0.9,0.81,0.85
0.74,1.12,1.15,1.01
0.71,1.02,0.8,0.97
0.6,1.0,0.99,1.07
0.71,0.88,0.8,0.81
0.79,1.1,1.08,0.88
0.74,1.16,0.82,1.15
0.64,1.13,0.83,0.86
0.65,1.14,0.95,0.94
0.6,1.05,0.99,0.83
0.6,1.1,0.87,0.82
0.68,1.15,1.05,1.04
0.69,0.84,0.97,1.06
0.71,1.07,0.8,1.09
0.8,1.18,1.04,0.86
0.86,1.07,0.89,1.01
0.88,1.13,1.18,1.2
1.0,0.96,0.91,1.07
0.9,1.2,0.82,1.05
0.86,1.01,1.13,1.13
0.69,0.83,1.07,0.94
0.77,1.15,1.1,1.0
0.63,0.95,0.89,1.06
0.62,1.11,0.82,1.06
0.6,1.12,0.87,1.08
0.6,0.84,0.94,0.87
0.6,0.92,0.85,0.91
0.6,0.99,1.06,1.14
0.72,1.12,0.88,1.04
0.84,1.05,0.95,0.91
0.83,0.83,0.93,1.04
0.9,1.12,0.88,1.06
0.85,1.09,0.93,1.03
0.79,0.96,1.12,1.05
0.8,0.86,1.1,0.91
0.7,0.83,1.06,0.94
0.71,1.17,1.11,1.08
0.6,1.08,1.03,1.08
0.69,1.05,0.95,0.83
0.6,0.87,0.96,0.82
0.64,0.83,0.95,0.83
0.75,0.82,1.08,1.07
0.86,0.82,0.94,1.19
0.83,0.88,0.85,1.01
0.76,1.03,1.01,1.12
0.85,1.15,1.14,0.96
0.73,0.95,1.0,0.95
0.83,1.07,0.92,1.01
0.71,0.99,1.19,1.07
0.61,1.1,0.98,0.98
0.6,1.05,0.87,1.17
0.6,1.19,0.82,0.93
0.71,1.09,1.05,1.15
0.6,0.94,0.88,1.17
0.71,0.86,0.87,0.99
0.71,1.12,0.8,1.12
0.75,1.13,1.01,1.17
0.78,0.96,1.16,0.9
0.67,0.94,0.91,0.94
0.6,0.91,1.15,0.86
0.68,0.88,0.99,0.88
0.75,0.87,1.0,0.94
0.82,1.03,0.91,0.91
0.81,0.92,1.0,1.2
0.95,1.12,0.96,1.13
1.08,1.09,0.98,0.99
1.08,0.85,0.84,1.02
0.98,1.13,1.01,0.97
1.15,1.17,1.15,1.19
0.97,1.06,0.98,1.04
0.78,0.95,1.15,1.0
0.76,0.83,1.19,0.86
0.61,1.05,1.14,1.06
0.6,0.92,1.09,1.14
0.6,0.91,1.06,1.14
0.64,0.82,0.88,0.86
0.72,1.06,0.86,0.92
0.84,0.93,1.17,1.07
0.8,0.99,0.84,1.19
0.94,0.93,1.02,0.89
0.8,1.0,1.16,1.15
0.96,0.82,1.13,1.06
0.88,1.09,0.93,0.95
0.9,0.94,0.83,1.11
0.78,1.18,0.87,1.17
0.78,0.98,0.85,0.9
0.91,0.9,0.91,1.11
1.08,0.91,0.87,1.19
1.12,0.87,0.92,0.94
1.27,0.91,0.81,1.18
1.4,0.81,1.08,1.1
1.4,0.81,1.07,1.02
1.3,1.17,1.02,1.18
1.4,0.89,1.2,1.07
1.31,1.02,0.99,0.82
1.36,1.17,1.09,1.12
1.4,0.96,1.07,1.04
1.27,1.17,0.81,0.86
1.4,0.99,0.82,0.99
1.4,1.12,0.89,1.07
1.31,0.93,1.11,1.1
1.22,1.16,0.8,1.1
1.24,1.02,1.0,1.03
1.23,1.03,1.05,0.81
1.17,1.03,1.06,0.89
0.98,0.88,0.92,1.05
0.82,1.18,0.97,1.12
0.72,0.89,1.18,0.9
0.7,1.07,0.91,0.94
0.66,0.84,0.92,1.19
0.72,0.95,1.0,1.03
0.83,1.0,1.19,0.91
0.81,0.99,0.84,0.83
0.9,0.93,1.16,1.11
0.92,0.83,1.18,1.08
0.85,0.84,1.13,1.08
0.94,1.16,1.09,1.13
0.79,0.92,1.04,1.0
0.7,1.07,0.84,0.93
0.6,0.98,0.96,0.98
0.6,1.16,1.11,1.06
0.66,1.16,1.18,1.01
0.6,1.02,1.06,0.83
0.6,0.88,0.81,1.09
0.6,0.89,1.09,0.9
0.6,0.84,0.84,1.09
0.6,0.93,1.19,1.15
0.6,0.85,0.84,0.96
0.65,0.85,1.15,1.06
0.68,0.95,1.11,1.1
0.62,0.84,0.81,0.99
0.74,0.82,1.05,1.0
0.76,0.98,1.12,0.91
0.63,0.86,0.84,1.07
0.62,1.01,0.83,1.08
0.68,1.05,1.05,1.03
0.79,1.01,0.95,0.9
0.75,0.87,1.03,1.18
0.89,0.93,0.99,1.12
0.77,1.05,1.08,0.91
0.89,1.2,1.04,0.92
0.87,0.95,0.92,1.04
0.79,1.19,1.18,1.11
0.79,0.92,0.97,0.9
0.74,0.83,1.09,0.91
0.89,1.17,1.02,1.19
0.72,0.98,1.19,0.96
0.86,0.84,1.03,0.89
0.76,0.85,1.06,0.84
0.74,0.94,1.15,0.98
0.62,1.09,1.03,0.82
0.6,1.08,0.92,1.06
0.67,1.05,0.88,0.96
0.66,1.19,0.84,1.1
0.69,0.86,1.17,0.85
0.8,0.86,0.88,0.99
0.9,1.13,1.14,0.96
1.06,0.88,1.13,1.03
1.02,1.18,1.16,0.87
1.11,1.04,1.06,0.96
0.97,0.89,1.06,0.89
0.99,0.86,1.17,0.81
1.01,1.01,0.93,0.84
1.1,1.03,0.92,0.92
1.1,1.15,0.94,0.89
1.31,1.2,1.05,1.08
1.4,1.03,1.2,0.86
1.31,0.98,1.01,1.05
1.37,1.01,0.88,0.9
1.27,0.95,1.05,0.88
1.16,1.07,1.1,1.09
1.27,1.13,0.81,0.85
1.4,1.06,1.15,0.98
1.4,1.15,1.17,0.89
1.15,0.86,0.99,1.05
1.22,0.94,1.03,1.12
1.37,0.9,1.16,1.06
1.22,0.89,1.1,0.91
1.06,0.88,0.82,0.93
0.86,1.01,0.97,0.98
0.95,1.01,1.06,0.87
0.85,1.13,1.08,1.0
0.82,1.12,0.87,0.83
0.68,0.98,0.85,0.96
0.6,1.14,0.89,1.19
0.6,1.04,1.07,0.91
0.71,0.96,1.09,1.09
0.71,1.03,1.14,0.83
0.75,0.93,0.83,1.05
0.64,1.01,1.17,0.92
0.6,1.1,0.98,0.81
0.6,1.04,1.01,0.88
0.67,1.04,1.05,0.98
0.6,1.16,1.02,0.95
0.68,0.88,0.86,1.11
0.79,0.99,0.84,1.0
0.81,1.18,1.2,0.99
0.94,0.93,0.93,1.07
0.92,1.08,1.17,0.81
0.87,1.1,1.11,1.06
0.93,1.13,0.93,0.93
1.04,1.09,0.91,0.91
1.06,1.15,1.18,0.83
1.11,0.82,1.18,0.98
1.26,1.13,1.13,1.0
1.11,1.2,1.07,1.17
0.92,1.03,0.81,1.18
1.02,0.83,1.03,1.09
0.99,0.84,1.18,1.02
1.15,0.97,0.83,1.0
1.0,0.99,0.96,1.11
0.98,1.03,0.92,1.16
1.05,1.05,0.91,0.86
1.09,0.94,0.83,1.03
0.99,0.92,0.84,0.82
1.15,1.17,1.11,1.01
1.23,1.17,0.98,1.08
1.11,0.83,0.87,1.07
1.32,0.89,1.11,1.16
1.34,1.2,0.81,1.11
1.33,1.07,0.97,0.83
1.2,0.83,0.85,1.11
1.36,0.87,0.8,0.86
1.36,0.99,1.07,1.15
1.4,1.08,1.15,1.18
1.28,1.02,1.0,1.15
1.21,1.14,1.17,1.05
1.4,1.11,1.06,1.11
1.34,0.81,1.05,0.91
1.4,1.02,1.18,1.1
1.24,1.06,1.16,0.81
1.26,1.16,1.09,0.99
1.4,1.14,0.96,1.1
1.34,1.05,1.08,1.1
1.38,1.04,1.06,0.92
1.39,0.81,1.13,1.13
1.4,0.99,0.86,1.16
1.39,1.11,0.98,1.07
1.35,1.19,1.13,1.15
1.22,0.98,0.87,1.04
1.06,1.01,1.13,0.98
1.11,1.02,0.95,0.88
1.12,0.9,1.0,0.82
1.06,1.07,0.9,0.93
0.93,0.9,0.91,1.16
0.85,1.0,0.97,1.05
0.72,0.85,1.01,1.01
0.71,0.91,0.81,0.84
0.81,0.81,0.91,1.02
0.71,0.85,1.1,0.82
0.66,1.04,0.97,1.02
0.7,0.85,1.19,0.81
0.6,0.92,0.94,0.88
0.62,1.14,0.85,1.14
0.6,1.16,0.97,0.88
0.6,0.9,1.14,0.93
0.65,1.11,1.15,1.17
0.61,0.82,0.83,0.91
0.6,1.1,0.88,1.16
0.63,0.8,1.16,0.95
0.68,1.18,1.2,0.9
0.61,1.16,0.97,0.96
0.6,1.16,0.92,0.99
0.66,1.06,1.11,1.09
0.6,0.94,0.99,0.83
0.6,1.11,0.86,0.87
0.65,1.0,0.87,1.0
0.75,0.83,0.95,0.99
0.71,1.14,1.02,1.15
0.67,0.94,0.94,0.93
0.75,1.09,0.89,1.03
0.61,1.12,0.97,0.92
0.6,1.1,1.0,0.82
0.6,0.89,1.18,1.09
0.65,1.15,0.88,0.94
0.6,1.04,1.06,0.87
0.6,1.15,1.02,1.05
0.6,1.06,1.18,1.03
0.7,0.88,0.97,0.92
0.67,0.89,1.04,1.07
0.73,0.86,0.94,1.05
0.68,1.0,1.17,0.87
0.71,1.15,0.94,1.18
0.6,1.12,0.98,1.15
0.6,1.14,0.98,0.83
0.6,1.17,0.9,0.87
0.65,0.89,0.82,0.85
0.62,0.92,1.12,1.0
0.71,1.11,1.01,1.1
0.6,1.04,0.86,0.91
0.7,1.1,0.95,0.82
0.6,0.91,0.87,1.03
0.67,0.93,1.09,1.03
0.62,1.04,0.87,1.03
0.68,0.83,1.17,0.8
0.68,0.84,1.1,0.84
0.73,0.89,0.87,1.14
0.86,0.87,1.07,1.0
0.9,0.89,1.19,0.89
0.75,1.03,1.17,1.15
0.72,1.02,0.91,1.11
0.63,0.98,1.0,0.9
0.6,0.96,1.0,1.11
0.66,1.04,0.88,0.86
0.77,0.91,1.03,1.0
0.8,0.84,0.81,1.0
0.95,0.98,0.91,1.03
1.05,1.16,0.87,1.16
0.87,1.1,1.03,1.14
0.78,0.96,0.93,1.16
0.77,0.98,0.92,0.83
0.66,0.87,1.14,1.15
0.72,0.84,0.82,1.14
